user,relevant,developer
"As someone else mentioned, the directions do not keep up with your physical movement. The GPS dot moves all over the place even if you are standing in one spot making it extremely difficult to get your bearings in an unfamiliar place. I may not know where I am, but I do know where I am not (...unless the men's fragrance section of Macy's has been moved outdoors and a block over). Adding to the challenge, the street names can be difficult to find. You may have to zoom out a significant amount for the one you are looking for to appear.  God forbid you want to zoom out and look for something in another area. Every time I have tried recently, it just brings me back to the area I'm currently in. Using the transit directions prove to be equally obnoxious. There will be directions to ""Walk"" but no explanation of where to (no ""turn left on X Street"") so you have to rely on their map and faulty GPS. The public transit are very confusing and counterintuitive (perhaps they're sufficient for people used to using public transit?).  I couldn't always clearly tell when a bus/train was arriving. Not sure what happened with the last few updates, as I have used Google Maps reliably on a number of past trips. I already hated to give my data over to Google but the frustration with this app on this trip makes it easy to try something new.  I imagine orienteering would be easier than using this app!",1,"Thanks for your review! Check out some tips from our Help Center on how to improve the apps speed as this is the likely cause of what you are seeing: https://goo.gl/GW6uOo.   Also, please check out this Help Center link for some tips that might help improve your location accuracy: https://goo.gl/XlhhQr"
"This app is garbage. It’s been out for years and they don’t fix basic algorithm mistakes like how it arbitrarily decides to omit immediate-next turns (and then you drive to the wrong borough and you’re twenty minutes later than you would be if you were using something other than garbage), or it tells you to be in any number of lanes to make a turn or an exit when there is really only one acceptable lane to be in to not kill everyone trying to drive around you, or it doesn’t tell you that the highway you’re on drops a lane, or it wastes time telling you that the next thing you need to do is merge when the only thing in the world you could physically ever do at that juncture IS merge (or just dunk your car in a ditch and be done with driving altogether). Just make your app make sense if you want any stars in my review of it! You’ve had years to make it minimally useable and you’ve been doing what this whole time? Adding features nobody asked for? Stop that. UPDATE: I’m very generously giving these bozos an extra star for streamlining the alternate route button. It’s cute and convenient and I’m proud of you guys. Now invest this star miraculously because you’re still days from driving me into the arms of AN ACTUAL FLIP PHONE so that I can go back to VZ Navigator if I can’t honestly give Google Maps a five-star review. I’m dead serious about all of this.",0,
"Let’s get one thing straight: I love google. I use Google Chrome over safari, Google Calendar over the one that comes with iPhone, and for a long time, I used Google Maps over Apple Maps. Google Maps a year ago was amazing. It always knew right where I was, the voice notifications were brief and prompt, and the app overall was just easy to use. Fast forward to today. Maps only communicates in NSEW directions “Head East” (Who knows that?),  the voice notification system is mediocre at best, and to say that Google Maps is glitchy is an understatement. I just went to a new city and drove my car around, and more often than not I was slinging my car across four lanes of traffic trying to make an exit that Google didn’t let me know I needed to take, or saying that I was on the wrong side of the road, going the wrong way or off the road entirely into the bushes (all the while I had at least 3 bars of LTE on Verizon. Coverage and carrier were not the issue). That was the final straw. This app that used to be more helpful was now potentially putting my life (and the life of my grandmother and friend) at risk. I still refuse to use Apple Maps, and have joined Waze. If the glitches can be fixed I may use again, but overall I am very disappointed!",0,
"Since introduction of this app, it used to be a reliable, accurate, and just plain awesome! The past 8-10 months I have noticed how this app now like to loop you in directions that lead to paying tolls twice and directs you to areas where there are police traps set up. This does not happen just in my home state, but all over the country where I drive. While in Boston, the app was just plain unusable. At first I thought I was being a paranoid Freak, but I have used this while comparing this to other apps. Waze, uses the same maps, shows different routes and works as advertised, but the ads are getting annoying. A no frills map that just works and does not have the ads or doing the stuff Google does with looping through extra tools and stuff is Inrix. This has become my application of choice for reliability and no nonsense. This is important when you are transporting sensitive medical stuff like blood, organs, and supplies. Disappointed how harvesting info for profit or my experience of taking routes that are longer because they direct you through extra tools/police stings. On the flipside, downloading maps and using them with internet brings the reliability back on par with where it used to be and in line with Inrix!",0,
"From avoiding traffic to drop off the kiddos to finding the fastest route (again avoiding traffic) on my 45+ min. commute, and often searching for the closest gas, food, &lt;insert business&gt; along the way — rinse and repeat at the end of the day — Google Maps is not just a handy app, it’s essential to my everyday comings and goings. The traffic notifications are absurdly simple (dark red road = bad) and always seem to be accurate, while it’s an excellent resource for doing basic research on pretty much any place, anywhere. Works great on my iPhone, very rarely glitches, and the option to download local maps “just in case” ensures I’m getting where I need to be regardless. I prefer to use it as a search tool even when I’m not traveling because of all the details, contact info, etc. it provides in an uber simple UI. Great for piece of mind on a daily basis, and that’s not even getting into the “fun” stuff like using street view to check out places and just exploring while on the toilet. Privacy / location tracking options are easy to control too, and the list goes on. Why wouldn’t I use Google Maps?",0,
"The way you’re allowing people to report accidents or road closures now with the + only available when the app is in route navigation mode is absolutely idiotic.  You’re assuming people always open up maps to have turn by turn navigation going on when they need to file such a report and that’s simply not the case.  I don’t need navigation to know where I’m going almost 90% of the time, but it would be nice to open up maps, drop a pin and add an accident or speed trap if I see one along my way WITHOUT having to be in navigation mode on the maps.  Why you didn’t think of this is beyond me. Mobile app only shows Rates/Reviews for places that only if they have an actual review posted.  If it’s just a star rate, it doesn’t show up in the list but is still counted.  Have to visit full desktop site via Safari to see all reviews.  This is ridiculous and needs to be corrected.  Mobile app should have same functionality as full site! Also, you need to turn off that junk at the bottom recently introduced that tells you about things around you and suggests places for you.  I don’t need that taking up screen room when I’m opening up the app to quickly check the traffic on the roads around me.  I just need the app to quickly open and display the map full screen with no other BS interfering.",1,"Let's give clearing your phones cache and restarting your phone to possibly improve this issue for you like it has for others. More details on clearing cache can be found here:https://goo.gl/GW6uOo. If you are still experiencing this after following these steps, please give us a bit more about what you're experiencing so we can investigate further."
"It took me to streets that were closed! My kids had a field trip, and the 101 fwy was closed in Santa Barbara. I already knew this, so I wanted to make sure I leave early enough to take whatever detours I had to take. Google maps said I would make it in 2.5 hours, and showed that I'd be using side streets where the fwy was closed. I checked Waze (another GPS app) and that said it would take me 3.5 hours, taking me the 5 fwy route.  So I opted for Google Maps, the faster one, the so-called ""trusted"" GPS app, that would get me there 1 hour sooner than Waze's route.  We left early, and when we reached the part where the fwy was closed, it detoured me to streets that were closed off! Tried other streets, all closed!! I then used Waze, to see if there was another way, and Waze said I would have to go all the way around, through the 5 fwy. That would take me 4 hours from where I was! We obviously didn't make it to our field trip and ended up just going to a park in Santa Barbara, then headed back home. I should have used Waze from the beginning. Google Maps fail! I've had prior issues with Google Maps before, like, it routing me in loops and circles, but never thought too much about it. It is the most used GPS app, so I thought it was the best. Nope. This time it pushed my buttons. Deleted the app. Use Waze everyone! It's real time, with real users!",0,
"Google Maps is helpful, probably, when one is driving. It's not helpful for someone who has to take transit or walk. Transit often has changes/transfers - there are no actual walking directions available that are helpful. If you're walking the wrong way, the app doesn't stop you, just tells you to walk to {location}. Also, some bus stops are very near/across the street from one another and Google Maps has a hard time pinpointing that. That's the difference between going the wrong way in a strange place or arriving at your destination. I commute to work but Google Maps only shows one route instead of any route, no matter how I change the settings, so I never know when the bus comes. I know when the trolley comes, but it only runs twice an hour when I am out of work and being able to see any kind of alternate route would be nice. I've also noticed that we have a trolley line that runs all the way to South Hills Village, but Google Maps just tells you to get off the stop before that and walk for sixteen minutes. I know better, but a person new to the area may not. I just don't find it very helpful as someone who doesn't drive.",1,"Thank you for your review! Sorry to hear about this issue. Please copy and paste this Help Center link into your browser for some steps that might help improve your location accuracy: https://goo.gl/XlhhQr  Also, please check out this Help Center link for some tips that might help enhance applications speeds as this will affect Maps as well: https://goo.gl/XlhhQr"
"I guess I didn't even realize the difference between this and the native apple map. I switched to iPhone last year and was used to pressing a map link and it opened right up in maps. Well, apple does that too...but when I needed it badly I had to come download google maps. I was stuck in a delivery parking lot of a huge hospital in an unfamiliar city that apparently had one address for the whole campus. Apple's map made me almost lose my mind- ""Turn right then turn right! Go southwest then immediately go north then turn right! Turn left then turn right!"" It was insanity. I finally broke down and googled what I needed which prompted me to download Google Maps...And I was immediately given correct directions and found my medical office in less than 5 minutes. Now every time I need directions I find Google Maps is the only one that's accurate. 4 stars because it turns me sideways sometimes and did have me turn right off of an exit just to make an immediate u-turn when it should have just told me to turn left from the jump. Still- it gets me there which is what I ultimately care about.",0,
"For the vast majority of usage, this app has been flawless. The traffic is accurate, the routing is good, and the user interface is simple and easy to use. However, I have found some things to be quite annoying. For one, I have found that sometimes when I am in the far left lane on the highway, the app will think I am on the wrong side of the road causing it to constantly reroute me (this mostly happens in HOV lanes and high speed ezpass lanes). Another issue is that if I purposely choose a slower route because it is fewer miles the app will constantly tell me it found a faster route (I know there is a faster way, but I purposefully chose the longer timed route!) this is very frustrating, and on my last 2 hour drive it told me 5 times that there was a faster way and I had to take my hand off the wheel to cancel the change. Finally, my last complaint is that there aren't more alternate routes given. I’m lucky if the app gives me 3 options, whereas online you can drag the route to any road and it will find a route. Other than these issues though, the app is very well implemented.",0,
